0.0625						
742	152	659	80	199	5	0
307	595	419	385	106	3	0
198	265	1137	206	188	29	0
122	266	807	508	230	3	0
384	310	776	233	270	6	0
13	1	10	4	4	177	0
0.125						
658	320	755	10	90	4	0
166	772	468	245	157	7	0
266	62	1353	182	131	29	0
101	167	757	661	250	0	0
290	205	870	186	428	0	0
14	5	11	2	1	176	0
0.1875						
686	196	764	103	63	25	0
164	348	938	263	96	6	0
331	89	1161	163	250	29	0
116	203	686	746	182	3	0
511	207	735	294	230	2	0
11	3	10	4	5	176	0
0.25						
78	42	217	6	0	4	1490
3	184	69	1	54	7	1497
78	0	531	143	1	29	1241
5	0	255	462	3	0	1211
32	3	125	6	165	0	1648
6	1	2	4	0	175	21
