0.0625						
403	569	582	94	157	32	0
180	827	381	167	254	6	0
123	238	1320	139	172	31	0
134	406	743	571	78	4	0
211	387	977	47	354	3	0
8	5	13	7	4	172	0
0.125						
463	362	680	110	175	47	0
258	512	472	418	141	14	0
166	97	1249	330	149	32	0
113	148	765	591	318	1	0
256	273	808	221	378	43	0
8	6	5	9	9	172	0
0.1875						
454	223	871	159	124	5	1
156	449	605	355	229	20	1
167	142	1376	137	171	30	0
195	292	761	436	249	3	0
274	323	878	208	293	1	2
10	4	13	2	6	174	0
0.25						
31	73	151	0	0	3	1579
20	0	225	1	0	2	1567
35	43	569	28	35	29	1284
33	1	256	108	0	5	1533
50	47	233	0	29	0	1620
3	0	6	0	0	170	30
